	Step ID	Problem Hierarchy	Problem Name	Max Problem View	Step Name	Avg Incorrects	Avg Hints	Avg Corrects	% First Attempt Incorrects	% First Attempt Hints	% First Attempt Corrects	Avg Step Duration (sec)	Avg Correct Step Duration (sec)	Avg Error Step Duration (sec)	Total Students	Total Opportunities	KC (Moon)	KC (Moon)	KC (Moon)	KC (Moon)	KC (Moon)
0	7a10e8d1d08efc2bf73f456356335bdf	(sequence) Introduction to Biological Principles, (module) Biology Post-Test	bio	8.0	q10_i1 UpdateRadioButton	0.6034	0.0	0.5	53.4483	0.0	46.5517	0.034	0.0	0.063	116	116					
1	766641a18d90f5e1dca641596f802421	(sequence) Introduction to Biological Principles, (module) Biology Post-Test	bio	8.0	q11_i1 UpdateRadioButton	0.5776	0.0	0.4914	53.4483	0.0	46.5517	0.034	0.0	0.065	116	116					
2	f9e65b36abd18671125ec789e8b37461	(sequence) Introduction to Biological Principles, (module) Biology Post-Test	bio	8.0	q12_i1 UpdateRadioButton	0.3793	0.0	0.6897	33.6207	0.0	66.3793	0.034	0.053	0.0	116	116					
3	40a07c3436bc87ceb29c8fe7599f6646	(sequence) Introduction to Biological Principles, (module) Biology Post-Test	bio	8.0	q13_i1 UpdateRadioButton	0.4483	0.0	0.6466	39.6552	0.0	60.3448	0.034	0.0	0.086	116	116					
4	b3293abe9da3dea73186540c5e08fd27	(sequence) Introduction to Biological Principles, (module) Biology Post-Test	bio	8.0	q14_i1 UpdateRadioButton	0.4914	0.0	0.6034	43.1034	0.0	56.8966	0.034	0.0	0.08	116	116					
5	ea0f5f855905904227c5a83bb60908e9	(sequence) Introduction to Biological Principles, (module) Biology Post-Test	bio	8.0	q15_i1 UpdateRadioButton	0.5086	0.0	0.6207	42.2414	0.0	57.7586	0.035	0.0	0.086	116	116					
6	b48f46d86c2fafe57e62e999a1c90675	(sequence) Introduction to Biological Principles, (module) Biology Post-Test	bio	8.0	q16_i1 UpdateRadioButton	0.7304	0.0	0.313	70.4348	0.0	29.5652	0.035	0.0	0.049	115	115					
7	595747dd4143384a7de24afec9950c01	(sequence) Introduction to Biological Principles, (module) Biology Post-Test	bio	8.0	q17_i1 UpdateRadioButton	0.2087	0.0	0.8	20.8696	0.0	79.1304	0.035	0.0	0.163	115	115					
8	d51b2bc410e036242469118153d369b5	(sequence) Introduction to Biological Principles, (module) Biology Post-Test	bio	8.0	q18_i1 UpdateRadioButton	0.2783	0.0	0.7391	27.8261	0.0	72.1739	0.035	0.0	0.125	115	115					
9	60a90b30bfee2ba25c0b1bfc6be68bae	(sequence) Introduction to Biological Principles, (module) Biology Post-Test	bio	8.0	q19_i1 UpdateRadioButton	0.513	0.0	0.6087	41.7391	0.0	58.2609	0.035	0.06	0.0	115	115					
10	0d71d0a7acf7380a66658fe0be1abc53	(sequence) Introduction to Biological Principles, (module) Biology Post-Test	bio	8.0	q1_i1 UpdateRadioButton	0.5882	0.0	0.5546	49.5798	0.0	50.4202	0.033	0.0	0.065	118	119					
11	43f28d3e1d972d71b100358bc07f8338	(sequence) Introduction to Biological Principles, (module) Biology Post-Test	bio	8.0	q20_i1 UpdateRadioButton	0.4522	0.0	0.6087	40.8696	0.0	59.1304	0.035	0.0	0.096	115	115					
12	45717d039a2aa06d3758aeeece9351a7	(sequence) Introduction to Biological Principles, (module) Biology Post-Test	bio	8.0	q21_i1 UpdateRadioButton	0.2261	0.0	0.8087	20.8696	0.0	79.1304	0.035	0.0	0.172	115	115					
