	Step ID	Problem Hierarchy	Problem Name	Max Problem View	Step Name	Avg Incorrects	Avg Hints	Avg Corrects	% First Attempt Incorrects	% First Attempt Hints	% First Attempt Corrects	Avg Step Duration (sec)	Avg Correct Step Duration (sec)	Avg Error Step Duration (sec)	Total Students	Total Opportunities	KC (Moon)	KC (Moon)	KC (Moon)	KC (Moon)	KC (Moon)	KC (Moon)	KC (Moon)	KC (Moon)
0	1740dac766a9415217f6c71f6bc4da36	(sequence) Introduction to Programming with Python, (module) Logic	dynadrop_equivalence	3.0	dynadrop_equivalence__absR UpdateComboBox	1.5	0.0	1.0	100.0	0.0	0.0	129.0		129.0	2	2	logical equivalence	logical implication	Logical Negation					
1	bd597d1d8297761b42413d10bf2725d1	(sequence) Introduction to Programming with Python, (module) Logic	dynadrop_equivalence	3.0	dynadrop_equivalence__com UpdateComboBox	1.0	0.0	1.0	100.0	0.0	0.0	18.0		18.0	2	2	logical implication	Logical Negation	Boolean expression creation					
2	2274d038db2b05b8a4b7d1c80ebf25c1	(sequence) Introduction to Programming with Python, (module) Logic	dynadrop_equivalence	3.0	dynadrop_equivalence__dis UpdateComboBox	0.5	0.0	1.0	50.0	0.0	50.0	7.5	0.0	15.0	2	2	Understanding connectives	conjunction and disjunction	Logical Negation					
3	f68e07aa36aa46a74d224dc5d0845e12	(sequence) Introduction to Programming with Python, (module) Logic	dynadrop_equivalence	3.0	dynadrop_equivalence__ide UpdateComboBox	0.5	0.0	1.0	50.0	0.0	50.0	3.5	3.0	4.0	2	2	conjunction and disjunction	Logical Operators	Understanding context	Boolean expression creation				
4	5d0efac08fa72e794b6cae71485de7b8	(sequence) Introduction to Programming with Python, (module) Logic	dynadrop_variables_and_connectives	4.0	dynadrop_variables_and_connectives__biimpl UpdateComboBox	0.0	0.0	1.0	0.0	0.0	100.0	6.5	6.5		4	4	logical implication	Understanding context	Boolean expression creation					
5	e3fbb8e17eafddef32536cbab607ab42	(sequence) Introduction to Programming with Python, (module) Logic	dynadrop_variables_and_connectives	4.0	dynadrop_variables_and_connectives__conj UpdateComboBox	0.0	0.0	1.0	0.0	0.0	100.0	5.25	5.25		4	4	Understanding connectives	Understanding context	interpreting placeholders					
6	d5e5250f2da1a19e2f87b95f2df3f5bf	(sequence) Introduction to Programming with Python, (module) Logic	dynadrop_variables_and_connectives	4.0	dynadrop_variables_and_connectives__disj UpdateComboBox	0.0	0.0	1.0	0.0	0.0	100.0	6.5	6.5		4	4	Multiple Choice Strategy 2	Understanding context	interpreting placeholders					
7	52dc23796e2a8d1d9970b0e42e9ce966	(sequence) Introduction to Programming with Python, (module) Logic	dynadrop_variables_and_connectives	4.0	dynadrop_variables_and_connectives__exclor UpdateComboBox	0.25	0.0	1.0	25.0	0.0	75.0	9.0	4.333	23.0	4	4	Multiple choice selection	reading comprehension 2	Understanding context					
8	289d40b14d2a6dd9d73b3c59c582b620	(sequence) Introduction to Programming with Python, (module) Logic	dynadrop_variables_and_connectives	4.0	dynadrop_variables_and_connectives__impl UpdateComboBox	0.0	0.0	1.0	0.0	0.0	100.0	4.75	4.75		4	4	Understanding context	interpreting placeholders						
9	6c5824974123ac43d2e9d9e0667795c0	(sequence) Introduction to Programming with Python, (module) Logic	dynadrop_variables_and_connectives	4.0	dynadrop_variables_and_connectives__neg UpdateComboBox	0.0	0.0	1.0	0.0	0.0	100.0	7.25	7.25		4	4	reading comprehension 1	Understanding context						
10	94cabf49554f2b3c71ad68df17c2e676	(sequence) Introduction to Programming with Python, (module) Logic	mc_equivalence_2	3.0	q1_i1 UpdateRadioButton	0.0	0.0	1.0	0.0	0.0	100.0	169.5	169.5		2	2	logical equivalence	logical implication						
11	b373503e68b7e183cc9ad238efed39b6	(sequence) Introduction to Programming with Python, (module) Logic	mc_equivalence_2	3.0	q2_i1 UpdateRadioButton	0.5	0.0	1.0	50.0	0.0	50.0	21.0	24.0	18.0	2	2	logical equivalence	logical implication	Logical Negation					
12	1b022772705cdfd9c5f6be258330d118	(sequence) Introduction to Programming with Python, (module) Logic	mc_equivalence_2	3.0	q3_i1 UpdateRadioButton	1.0	0.0	1.0	100.0	0.0	0.0	15.5		15.5	2	2	logical equivalence	logical implication	Logical Negation					
13	a288b7bc2e8371190c17599e6b7b6853	(sequence) Introduction to Programming with Python, (module) Logic	mc_equivalence_2	3.0	q4_i1 UpdateRadioButton	0.0	0.0	1.0	0.0	0.0	100.0	27.0	27.0		2	2	logical equivalence	logical implication	Logical Negation	Boolean expression creation				
14	70766d74eaf9d1ec3f911ed1460ca4b1	(sequence) Introduction to Programming with Python, (module) Logic	mc_equivalence_2	3.0	q5_i1 UpdateRadioButton	0.5	0.0	1.0	50.0	0.0	50.0	12.5	7.0	18.0	2	2	logical equivalence	conjunction and disjunction	Logical Negation					
15	b8151dfa5c0a99554657be0ed6179529	(sequence) Introduction to Programming with Python, (module) Logic	mc_equivalence_2	3.0	q6_i1 UpdateRadioButton	0.5	0.0	1.0	50.0	0.0	50.0	18.0	14.0	22.0	2	2	logical equivalence	Logical Operators						
16	faf4443f8f0204f2eea0ecf4cf79f53f	(sequence) Introduction to Programming with Python, (module) Logic	mc_propositional_formulae_1	3.0	q1_i1 UpdateRadioButton	0.8	0.0	1.0	40.0	0.0	60.0	76.0	120.333	9.5	4	5	Operator Precedence	logical operators	Logical Operators					
17	974e65a72ebb042276e0f9cb166e1ecf	(sequence) Introduction to Programming with Python, (module) Logic	mc_propositional_formulae_2	3.0	q1_i1 UpdateRadioButton	1.0	0.0	1.0	75.0	0.0	25.0	4.0	0.0	5.333	4	4	Logical Negation							
18	a2cef648125ea7fca0c582d04854a642	(sequence) Introduction to Programming with Python, (module) Logic	mc_propositional_formulae_2	3.0	q2_i1 UpdateRadioButton	0.6667	0.0	1.0	66.6667	0.0	33.3333	6.667	4.0	8.0	3	3	De Morgan's Law	Logical Negation	Multiple Choice Strategy 1					
19	f45c9f85e5a038a1c9b84099d8223e18	(sequence) Introduction to Programming with Python, (module) Logic	mc_propositional_formulae_2	3.0	q3_i1 UpdateRadioButton	0.6667	0.0	1.0	66.6667	0.0	33.3333	18.667	9.0	23.5	3	3	Multiple choice selection	logical operators	Logical Operators					
20	a2c09ab74b0f1a0d42be00c3ee9d72ef	(sequence) Introduction to Programming with Python, (module) Logic	mc_propositional_formulae_2	3.0	q4_i1 UpdateRadioButton	0.0	0.0	1.0	0.0	0.0	100.0	21.75	21.75		4	4	logical equivalence	Logical Negation	logical equivalence rules					
21	abd546a91cb3286ab73962bec25e432a	(sequence) Introduction to Programming with Python, (module) Logic	mc_propositional_formulae_2	3.0	q5_i1 UpdateRadioButton	0.0	0.0	1.0	0.0	0.0	100.0	18.333	18.333		3	3	Logical Operators	Boolean expression creation						
22	29b0f04cbeac37804045b110395682bd	(sequence) Introduction to Programming with Python, (module) Logic	mc_propositional_formulae_3	3.0	q1_i1 UpdateRadioButton	0.25	0.0	1.0	25.0	0.0	75.0	0.5	0.0	2.0	4	4	logical implication							
