	Step ID	Problem Hierarchy	Problem Name	Max Problem View	Step Name	Avg Incorrects	Avg Hints	Avg Corrects	% First Attempt Incorrects	% First Attempt Hints	% First Attempt Corrects	Avg Step Duration (sec)	Avg Correct Step Duration (sec)	Avg Error Step Duration (sec)	Total Students	Total Opportunities	KC (Moon)	KC (Moon)	KC (Moon)	KC (Moon)	KC (Moon)	KC (Moon)
0	0ed2bbbdcc0c80546d4ec434fd09a9b9	(sequence) Psychology, (module) Psychology Post-Test	psych_gen	8.0	q10_i1 UpdateRadioButton	0.1564	0.0	0.8436	15.6379	0.0	84.3621	0.44	0.476	0.213	239	243						
1	46ad69f47147047887234a5b09fd00e3	(sequence) Psychology, (module) Psychology Post-Test	psych_gen	8.0	q11_i1 UpdateRadioButton	0.3128	0.0	0.6872	31.2757	0.0	68.7243	0.44	0.463	0.388	239	243						
2	55f92bedaefc37d66fc14a8f2aad1cbb	(sequence) Psychology, (module) Psychology Post-Test	psych_gen	8.0	q12_i1 UpdateRadioButton	0.2058	0.0	0.7942	20.5761	0.0	79.4239	0.44	0.413	0.538	239	243						
3	8e3a5342ae51eb3a6c742454fff970b9	(sequence) Psychology, (module) Psychology Post-Test	psych_gen	8.0	q13_i1 UpdateRadioButton	0.3128	0.0	0.6872	31.2757	0.0	68.7243	0.44	0.315	0.77	239	243						
4	2e8010758959cbf1f3cfb2e59db5ed1f	(sequence) Psychology, (module) Psychology Post-Test	psych_gen	8.0	q14_i1 UpdateRadioButton	0.214	0.0	0.786	21.3992	0.0	78.6008	0.44	0.447	0.413	239	243						
5	146fe1d2b498db056c26567fd2660b75	(sequence) Psychology, (module) Psychology Post-Test	psych_gen	8.0	q15_i1 UpdateRadioButton	0.2222	0.0	0.7778	22.2222	0.0	77.7778	0.44	0.41	0.571	239	243						
6	91bf56bdacc270334cfd7f51a1c2b725	(sequence) Psychology, (module) Psychology Post-Test	psych_gen	8.0	q16_i1 UpdateRadioButton	0.3992	0.0	0.6008	39.9177	0.0	60.0823	0.44	0.202	0.857	239	243						
7	e25f38f649e5f8d7d42b784e7257ffd3	(sequence) Psychology, (module) Psychology Post-Test	psych_gen	8.0	q17_i1 UpdateRadioButton	0.2181	0.0	0.7819	21.8107	0.0	78.1893	0.44	0.277	1.127	239	243						
8	c6fbb0108a8be903772778ffc1fdf339	(sequence) Psychology, (module) Psychology Post-Test	psych_gen	8.0	q18_i1 UpdateRadioButton	0.3045	0.0	0.6955	30.4527	0.0	69.5473	0.44	0.243	0.926	239	243						
9	be9fa9dc8120721cc4aeb75125560c48	(sequence) Psychology, (module) Psychology Post-Test	psych_gen	8.0	q19_i1 UpdateRadioButton	0.1111	0.0	0.8889	11.1111	0.0	88.8889	0.44	0.442	0.412	239	243						
