	Step ID	Problem Hierarchy	Problem Name	Max Problem View	Step Name	Avg Incorrects	Avg Hints	Avg Corrects	% First Attempt Incorrects	% First Attempt Hints	% First Attempt Corrects	Avg Step Duration (sec)	Avg Correct Step Duration (sec)	Avg Error Step Duration (sec)	Total Students	Total Opportunities	KC (Moon)	KC (Moon)	KC (Moon)	KC (Moon)	KC (Moon)	KC (Moon)
0	2c2e8aa14d2fb54f1654968e1c7d792e	(sequence) Statics, (unit) Complex Interactions Between Bodies, (module) Applications of Static Equivalency to Distributed Forces, (section1) Center of Gravity and Centroid	_m8_assess_part2	9.0	q1_i1 UpdateComboBox	0.1163	0.0	0.8837	11.6279	0.0	88.3721	12.336	12.576	10.24	86	86	equilibrium condition	direction of friction				
1	e8945cdbd03eb941f46f72b78bc24310	(sequence) Statics, (unit) Complex Interactions Between Bodies, (module) Applications of Static Equivalency to Distributed Forces, (section1) Center of Gravity and Centroid	_m8_assess_part2	9.0	q1_i2 UpdateComboBox	0.2093	0.0	0.7907	20.9302	0.0	79.0698	12.336	12.194	12.933	86	86	direction of friction					
2	3aba8613fe357322ae16283447d06d9a	(sequence) Statics, (unit) Complex Interactions Between Bodies, (module) Applications of Static Equivalency to Distributed Forces, (section1) Center of Gravity and Centroid	_m8_assess_part2	9.0	q1_i3 UpdateComboBox	0.093	0.0	0.907	9.3023	0.0	90.6977	12.336	12.304	12.659	86	86	equilibrium condition	direction of friction				
3	f8e3fa59ae71dc7b920361e7cbb4c30b	(sequence) Statics, (unit) Complex Interactions Between Bodies, (module) Applications of Static Equivalency to Distributed Forces, (section1) Center of Gravity and Centroid	_m8_assess_part2	9.0	q2_i1 UpdateComboBox	0.1163	0.0	0.8837	11.6279	0.0	88.3721	12.336	12.727	9.342	86	86	equilibrium condition	direction of friction				
4	fea02796bad7e3410dcf3a369e7389de	(sequence) Statics, (unit) Complex Interactions Between Bodies, (module) Applications of Static Equivalency to Distributed Forces, (section1) Center of Gravity and Centroid	_m8_assess_part2	9.0	q2_i2 UpdateComboBox	0.1047	0.0	0.8953	10.4651	0.0	89.5349	12.336	12.207	13.648	86	86	equilibrium condition	direction of friction				
5	5da77fc162c84911bfae9aafec7db3fa	(sequence) Statics, (unit) Complex Interactions Between Bodies, (module) Applications of Static Equivalency to Distributed Forces, (section1) Center of Gravity and Centroid	_m8_assess_part2	9.0	q2_i3 UpdateComboBox	0.1163	0.0	0.8837	11.6279	0.0	88.3721	12.336	12.841	8.47	86	86	equilibrium condition	direction of friction				
6	645661af155336314dcb61ba789ff58b	(sequence) Statics, (unit) Complex Interactions Between Bodies, (module) Applications of Static Equivalency to Distributed Forces, (section1) Center of Gravity and Centroid	_m8_assess_part2	9.0	q3_i1 UpdateNumberField	0.186	0.0	0.814	18.6047	0.0	81.3953	12.336	12.767	10.528	86	86	Understanding context					
7	f2dfe56feb8bc11a8c5ebc9f7c404bb7	(sequence) Statics, (unit) Complex Interactions Between Bodies, (module) Applications of Static Equivalency to Distributed Forces, (section1) Center of Gravity and Centroid	_m8_assess_part2	9.0	q3_i2 UpdateNumberField	0.3372	0.0	0.6628	33.7209	0.0	66.2791	12.336	12.497	12.015	86	86	direction of friction	Understanding context				
8	f7fa65624af3a42e8ca74e5671d3572d	(sequence) Statics, (unit) Complex Interactions Between Bodies, (module) Applications of Static Equivalency to Distributed Forces, (section1) Center of Gravity and Centroid	_m8_assess_part2	9.0	q4_i1 UpdateNumberField	0.2791	0.0	0.7209	27.907	0.0	72.093	12.336	13.05	10.399	86	86	direction of friction	Understanding context				
9	34aa8cbc1b1d3ac1d675ea3a54e41597	(sequence) Statics, (unit) Complex Interactions Between Bodies, (module) Applications of Static Equivalency to Distributed Forces, (section1) Center of Gravity and Centroid	_m8_assess_part2	9.0	q4_i2 UpdateNumberField	0.3605	0.0	0.6395	36.0465	0.0	63.9535	12.336	12.4	12.217	86	86	direction of friction	Understanding context				
10	36608343293d65e588eef79e7187c9b2	(sequence) Statics, (unit) Complex Interactions Between Bodies, (module) Applications of Static Equivalency to Distributed Forces, (section1) Center of Gravity and Centroid	_m8_assess_part2	9.0	q4_i3 UpdateNumberField	0.2674	0.0	0.7326	26.7442	0.0	73.2558	12.336	12.036	13.208	86	86	direction of friction					
11	aff5f5d22057df67124366b6f62372ed	(sequence) Statics, (unit) Complex Interactions Between Bodies, (module) Applications of Static Equivalency to Distributed Forces, (section1) Center of Gravity and Centroid	tutor_08_17	2.0	q1_A UpdateRadioButton	0.4095	0.1714	1.0762	30.4762	5.7143	63.8095	8.005	2.582	17.566	93	105	equilibrium condition	direction of friction				
12	dced5c28c509e159c5dfaf0538a5f1bf	(sequence) Statics, (unit) Complex Interactions Between Bodies, (module) Applications of Static Equivalency to Distributed Forces, (section1) Center of Gravity and Centroid	tutor_08_17	2.0	q2_B UpdateRadioButton	0.6327	0.1429	1.051	45.9184	4.0816	50.0	14.122	10.051	18.194	93	98	Pythagorean theorem	Calculating friction force				
13	c1f8be1326af36c76bb7780555b9615a	(sequence) Statics, (unit) Complex Interactions Between Bodies, (module) Applications of Static Equivalency to Distributed Forces, (section1) Center of Gravity and Centroid	tutor_08_17	2.0	q3_C UpdateRadioButton	0.6162	0.1212	1.0606	51.5152	1.0101	47.4747	15.015	8.021	21.337	93	99	Comprehending Symbols	Selecting correct option	Correct answer identification			
